DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
250504141,2/10/2025 0:00,2/6/2025 0:00,30,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
251004125,2/6/2025 0:00,2/6/2025 0:00,1415,10,West Valley,1012,2,900,VIOLATION OF COURT ORDER,0913 2038 1813 1309 1312,29,F,W,721,HIGH SCHOOL,,,IC,Invest Cont,900,,,,7200    AMIGO                        AV,,34.2012,-118.5386
250400004,2/26/2025 0:00,2/26/2025 0:00,915,4,Hollenbeck,477,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800    EUCLID                       AV,,34.0322,-118.2117
251904209,3/24/2025 0:00,3/21/2025 0:00,2230,19,Mission,1959,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 1402,0,M,W,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,341,998,,,13800    PIERCE                       ST,,34.2528,-118.4331
250904104,2/11/2025 0:00,2/10/2025 0:00,1235,9,Van Nuys,952,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1815,13,M,B,720,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5400    VESPER                       AV,,34.1685,-118.4509
250504100,1/30/2025 0:00,1/15/2025 0:00,2345,5,Harbor,527,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,705,SLIPS/DOCK/MARINA/BOAT,,,IC,Invest Cont,341,,,,600 W  HARRY BRIDGES                BL,,33.7709,-118.2683
250304246,3/4/2025 0:00,2/27/2025 0:00,1800,3,Southwest,328,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,2600    PORTLAND                     ST,,34.0309,-118.2821
251904162,2/24/2025 0:00,2/14/2025 0:00,2230,19,Mission,1916,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,59,M,W,721,HIGH SCHOOL,,,IC,Invest Cont,341,,,,13000    BORDEN                       AV,,34.3061,-118.4414
251904204,3/12/2025 0:00,3/12/2025 0:00,1242,19,Mission,1916,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,15,M,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,341,998,,,13000    BORDEN                       AV,,34.3061,-118.4414
250504153,2/11/2025 0:00,2/7/2025 0:00,20,5,Harbor,527,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,600 W  HARRY BRIDGE                 BL,,33.7626,-118.2687
250304269,3/10/2025 0:00,3/6/2025 0:00,1700,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,600    CHILDS                       WY,,34.0189,-118.2819
251904194,3/7/2025 0:00,3/6/2025 0:00,1200,19,Mission,1995,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0903,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,745,,,,8000    VAN NUYS                     BL,,34.2164,-118.4488
250304143,2/6/2025 0:00,2/5/2025 0:00,1930,3,Southwest,358,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,102,SIDEWALK,,,IC,Invest Cont,341,,,,600    HELLMAN                      WY,,34.0197,-118.2815
250504097,1/30/2025 0:00,1/23/2025 0:00,35,5,Harbor,527,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,705,SLIPS/DOCK/MARINA/BOAT,,,IC,Invest Cont,341,,,,600 W  HARRY BRIDGE                 BL,,33.7626,-118.2687
252104132,3/8/2025 0:00,2/23/2025 0:00,1900,21,Topanga,2145,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,0,M,H,101,STREET,,,AA,Adult Arrest,237,,,,TOPANGA CANYON               BL,BASSETT                      ST,34.1956,-118.6059
251604096,2/10/2025 0:00,2/10/2025 0:00,1100,16,Foothill,1634,2,888,TRESPASSING,2004 1501,0,X,X,109,PARK/PLAYGROUND,,,IC,Invest Cont,888,,,,11700    FOOTHILL                     BL,,34.2729,-118.3909
250504145,2/10/2025 0:00,2/5/2025 0:00,1930,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
251104034,1/12/2025 0:00,1/1/2025 0:00,2135,11,Northeast,1171,2,354,THEFT OF IDENTITY,100,18,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1600    MICHELTORENA                 ST,,34.0899,-118.2743
250304210,2/21/2025 0:00,2/20/2025 0:00,1450,3,Southwest,358,1,510,VEHICLE - STOLEN,,0,,,701,HOSPITAL,,,IC,Invest Cont,510,,,,600 W  35TH                         ST,,34.023,-118.2869
251704105,2/7/2025 0:00,2/6/2025 0:00,2130,17,Devonshire,1717,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,341,,,,11200    GOTHIC                       AV,,34.2737,-118.4887
250304235,3/1/2025 0:00,3/1/2025 0:00,1200,3,Southwest,358,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3600    WATT                         WY,,34.0228,-118.2862
251104123,2/18/2025 0:00,2/17/2025 0:00,1345,11,Northeast,1101,2,888,TRESPASSING,2004,0,X,X,109,PARK/PLAYGROUND,,,IC,Invest Cont,888,,,,5200    ZOO                          DR,,34.1538,-118.3092
251104094,2/3/2025 0:00,2/2/2025 0:00,2040,11,Northeast,1101,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,33,M,W,109,PARK/PLAYGROUND,,,IC,Invest Cont,440,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
250504185,2/21/2025 0:00,2/21/2025 0:00,1330,5,Harbor,518,2,624,BATTERY - SIMPLE ASSAULT,0305 0416 0446 1821 1815 1251 1259,15,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1500    LAKME                        AV,,33.7935,-118.2607
250304185,2/18/2025 0:00,2/14/2025 0:00,800,3,Southwest,338,1,510,VEHICLE - STOLEN,,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,510,,,,3100    MCCLINTOCK                   AV,,34.0274,-118.285
251004135,2/9/2025 0:00,2/9/2025 0:00,1200,10,West Valley,1049,2,888,TRESPASSING,1822 2004,0,M,W,109,PARK/PLAYGROUND,,,IC,Invest Cont,888,,,,6300    WOODLEY                      AV,,34.1822,-118.4836
250304108,1/30/2025 0:00,1/23/2025 0:00,1249,3,Southwest,338,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3100    MCCLINTOCK                   AV,,34.0274,-118.285
250304136,2/6/2025 0:00,2/5/2025 0:00,1755,3,Southwest,358,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600    CHILDS                       WY,,34.0189,-118.2819
250104113,1/24/2025 0:00,1/24/2025 0:00,1600,1,Central,192,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1258,4,F,H,701,HOSPITAL,,,AA,Adult Arrest,237,,,,1400 S  GRAND                        AV,,34.0372,-118.2654
251204086,1/16/2025 0:00,1/16/2025 0:00,1200,12,77th Street,1269,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,8500    TOWNE                        AV,,33.961,-118.2673
250504094,1/30/2025 0:00,1/22/2025 0:00,251,5,Harbor,527,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,705,SLIPS/DOCK/MARINA/BOAT,,,IC,Invest Cont,341,,,,600 W  HARRY BRIDGE                 BL,,33.7626,-118.2687
251704150,2/26/2025 0:00,2/26/2025 0:00,928,17,Devonshire,1752,2,624,BATTERY - SIMPLE ASSAULT,1258 2024 1815 1820 0448 0400 0417 0419,12,F,H,720,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,10100    VARIEL                       AV,,34.2536,-118.593
250504252,3/25/2025 0:00,1/21/2025 0:00,128,5,Harbor,527,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,600 W  HARRY BRIDGE                 BL,,33.7626,-118.2687
250504122,1/31/2025 0:00,1/24/2025 0:00,1400,5,Harbor,589,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 1815 1258 2024 0419 0429,13,F,H,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3700    STEPHEN M WHITE              DR,,33.7108,-118.2862
250304144,2/6/2025 0:00,2/5/2025 0:00,1900,3,Southwest,358,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,700 W  EXPOSITION                   BL,,34.0183,-118.2832
251904115,2/11/2025 0:00,2/10/2025 0:00,1415,19,Mission,1994,2,940,EXTORTION,1258 0337,13,M,H,104,DRIVEWAY,,,IC,Invest Cont,940,,,,15000    ROSCOE                       BL,,34.2215,-118.4592
250804237,3/19/2025 0:00,3/19/2025 0:00,850,8,West LA,842,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307 1822,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,745,,,,11800    TEXAS                        AV,,34.0458,-118.4614
